entity_id,harvested_at,score,scoreCodeSecurity,scoreCommunity,scoreFundamental,scoreGovernance,scoreMarket,scoreOperation
defi-franc,2026-06-22T13:30:04.557818+00:00,41.8,75.26,44.01,49.22,72.88,33.71,72.38
fraxfinance,2026-06-22T13:32:24.521914+00:00,83.81,96,93.96,70,85.3499984741211,82.9800033569336,77.89
mstable,2026-06-22T13:37:22.180585+00:00,79.54,93.98,94.46,68.3,90.06,70.41,75.13
rupiahtoken,2026-06-22T13:41:37.681749+00:00,71.86,76.46,55,49.83,83.88,80.21,86.53
stasis,2026-06-22T13:45:08.022148+00:00,75.23,74.87,55,85.1,88.88,71.8,73.06
tether,2026-06-22T13:47:36.173072+00:00,93.73,91.31999969482422,92.44,92.23999786376953,93.44,96,96.31
tor,2026-06-22T13:50:49.297737+00:00,63.03,75.89,55,85.1,65.3,77.05,78.3
usdd,2026-06-22T13:54:20.991326+00:00,88.43,89.56,94.63,76.7,85.05,96,84.07
usdk,2026-06-22T13:57:07.483788+00:00,68.55,79.14,51.48,49.38,54.58,83.22,72.72
